    # tiltAngle       # Jtheta # Total Energy
 # ------------  -------------   -------------
              0              0              0
            0.5      0.0432744        0.10458
              1       0.102464       0.203463
            1.5       0.171975       0.296963
              2       0.250429       0.385376
            2.5       0.337459       0.468977
              3       0.433323       0.548028
            3.5       0.502413       0.598243
              4        0.51727       0.608397
            4.5       0.531695       0.618051
              5       0.545684       0.627226
            5.5       0.559232       0.635941
              6        0.57233       0.644211
            6.5        0.58498       0.652055
              7       0.597175       0.659488
            7.5       0.608914       0.666525
              8        0.62019       0.673178
            8.5       0.631006       0.679463
              9       0.641353       0.685389
            9.5       0.651234        0.69097
             10       0.660643       0.696215
           10.5       0.669579       0.701134
             11       0.678041       0.705737
           11.5       0.686025       0.710032
             12       0.693531       0.714027
           12.5       0.700553       0.717728
             13       0.707091       0.721142
           13.5       0.713142       0.724275
             14       0.718702       0.727131
           14.5       0.723769       0.729715
             15       0.728341       0.732031
           15.5       0.732411       0.734081
             16       0.735977       0.735868
           16.5       0.739205       0.737478
             17       0.741965       0.738849
           17.5       0.744211       0.739961
             18       0.745941       0.740815
           18.5       0.747151       0.741411
             19       0.747838       0.741749
           19.5       0.747994       0.741826
             20       0.747616        0.74164
           20.5         0.7467       0.741189
             21        0.74524       0.740469
           21.5       0.743227       0.739474
             22       0.740657         0.7382
           22.5       0.737523        0.73664
             23       0.733818       0.734787
           23.5       0.729534       0.732633
             24       0.724661       0.730168
           24.5       0.719193       0.727382
             25       0.713123       0.724265
           25.5       0.706441       0.720804
             26       0.699138       0.716985
           26.5       0.691204       0.712793
             27       0.697156       0.715942
           27.5       0.703233       0.719131
             28       0.708676       0.721965
           28.5       0.713499       0.724459
             29        0.71772       0.726628
           29.5       0.721353       0.728485
             30       0.724415       0.730043
           30.5       0.726918       0.731312
             31       0.728879       0.732303
           31.5       0.730313       0.733026
             32       0.731231       0.733488
           32.5       0.731649       0.733698
             33       0.731579       0.733663
           33.5        0.73103       0.733387
             34        0.73002       0.732878
           34.5       0.728555       0.732139
             35       0.726648       0.731175
           35.5       0.724307       0.729988
             36       0.721541       0.728581
